ID,Subfolder,Filename,File_Location,Test_Start_Date,Test_Start_Time,00000140_Insertion_count,00008000_Status_Test,00000130_Tot_Test_time,00003080_,00003080_Serial_Block
1251,log ftp\11030000\7800,11037810-00271103-20241104083213-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104083213-P.log,2024-11-04,08:30:30,73,Test Passed,104[s],Download SerialInput Start,
1252,log ftp\11030000\7800,11037810-00271103-20241104083416-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104083416-P.log,2024-11-04,08:32:46,74,Test Passed,90[s],Download SerialInput Start,
1253,log ftp\11030000\7800,11037810-00271103-20241104083605-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241104083605-P.log,2024-11-04,08:34:35,75,Test Passed,90[s],Download SerialInput Start,
1254,log ftp\11030000\7800,11037810-00271103-20241106045230-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106045230-F.log,2024-11-06,04:50:54,271,,95[s],Download SerialInput Start,
1255,log ftp\11030000\7800,11037810-00271103-20241106045555-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106045555-F.log,2024-11-06,04:54:24,272,,91[s],Download SerialInput Start,
1256,log ftp\11030000\7800,11037810-00271103-20241106050614-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106050614-F.log,2024-11-06,05:05:05,3,,69[s],,
1257,log ftp\11030000\7800,11037810-00271103-20241106051121-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106051121-P.log,2024-11-06,05:09:37,273,Test Passed,104[s],Download SerialInput Start,
1258,log ftp\11030000\7800,11037810-00271103-20241106052902-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106052902-P.log,2024-11-06,05:27:26,275,Test Passed,95[s],Download SerialInput Start,
1259,log ftp\11030000\7800,11037810-00271103-20241106054159-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106054159-P.log,2024-11-06,05:40:29,276,Test Passed,90[s],Download SerialInput Start,
1260,log ftp\11030000\7800,11037810-00271103-20241106054522-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106054522-P.log,2024-11-06,05:43:52,276,Test Passed,90[s],Download SerialInput Start,
1261,log ftp\11030000\7800,11037810-00271103-20241106060533-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106060533-F.log,2024-11-06,06:03:15,13,,138[s],,
1262,log ftp\11030000\7800,11037810-00271103-20241106065845-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106065845-P.log,2024-11-06,06:57:10,277,Test Passed,95[s],Download SerialInput Start,
1263,log ftp\11030000\7800,11037810-00271103-20241106070648-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106070648-P.log,2024-11-06,07:05:13,16,Test Passed,95[s],Download SerialInput Start,
1264,log ftp\11030000\7800,11037810-00271103-20241106070841-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106070841-P.log,2024-11-06,07:07:11,17,Test Passed,90[s],Download SerialInput Start,
1265,log ftp\11030000\7800,11037810-00271103-20241106073146-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106073146-P.log,2024-11-06,07:30:10,278,Test Passed,95[s],Download SerialInput Start,
1266,log ftp\11030000\7800,11037810-00271103-20241106081313-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106081313-P.log,2024-11-06,08:11:37,18,Test Passed,96[s],Download SerialInput Start,
1267,log ftp\11030000\7800,11037810-00271103-20241106081503-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\11030000\7800\11037810-00271103-20241106081503-P.log,2024-11-06,08:13:32,19,Test Passed,90[s],Download SerialInput Start,
1268,log ftp\15440000\4900,15444954-00371105-20241104080425-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241104080425-F.log,2024-11-04,08:02:49,7,,98.3[s],Download SerialInput,
1269,log ftp\15440000\4900,15444954-00371105-20241104081400-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241104081400-P.log,2024-11-04,08:12:46,143,Test Passed,77.7[s],Download SerialInput,
1270,log ftp\15440000\4900,15444954-00371105-20241104081602-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241104081602-P.log,2024-11-04,08:14:38,144,Test Passed,86.3[s],Download SerialInput,
1271,log ftp\15440000\4900,15444954-00371105-20241104082843-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241104082843-P.log,2024-11-04,08:27:25,11,Test Passed,80.1[s],Download SerialInput,
1272,log ftp\15440000\4900,15444954-00371105-20241104083024-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241104083024-F.log,2024-11-04,08:29:49,73,,35[s],,
1273,log ftp\15440000\4900,15444954-00371105-20241106045221-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106045221-F.log,2024-11-06,04:50:47,12,,97.1[s],Download SerialInput,
1274,log ftp\15440000\4900,15444954-00371105-20241106045512-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106045512-F.log,2024-11-06,04:53:39,13,,95.5[s],Download SerialInput,
1275,log ftp\15440000\4900,15444954-00371105-20241106045706-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106045706-F.log,2024-11-06,04:55:33,13,,95.4[s],Download SerialInput,
1276,log ftp\15440000\4900,15444954-00371105-20241106050253-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106050253-P.log,2024-11-06,05:01:40,145,Test Passed,75.9[s],Download SerialInput,
1277,log ftp\15440000\4900,15444954-00371105-20241106050641-F.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106050641-F.log,2024-11-06,05:04:59,147,,104.7[s],Download SerialInput,
1278,log ftp\15440000\4900,15444954-00371105-20241106054129-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106054129-P.log,2024-11-06,05:40:15,14,Test Passed,78.0[s],Download SerialInput,
1279,log ftp\15440000\4900,15444954-00371105-20241106054335-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106054335-P.log,2024-11-06,05:42:21,14,Test Passed,76.2[s],Download SerialInput,
1280,log ftp\15440000\4900,15444954-00371105-20241106080415-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106080415-P.log,2024-11-06,08:03:01,0,Test Passed,76.1[s],Download SerialInput,
1281,log ftp\15440000\4900,15444954-00371105-20241106080858-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106080858-P.log,2024-11-06,08:07:44,148,Test Passed,76.3[s],Download SerialInput,
1282,log ftp\15440000\4900,15444954-00371105-20241106082159-P.log,C:/Users/budis/source/repos/ok/ETL parsing word python OK (from log to SQL )/!log from FTP/log ftp\15440000\4900\15444954-00371105-20241106082159-P.log,2024-11-06,08:20:42,20,Test Passed,79.9[s],Download SerialInput,
